Código,Quantidade,Prancha,CATEGORIA,Impressão,Papel,Laminação,Hot,Clichê,Total,Unit
7899866830035,1410,2,PLANNER DATADA ARGOLADO SEMANAL NOTAS A5,852.78,773.32,580.51,1500.00,206.41,3913.03,2.78
7899866830042,1490,8,PLANNER DATADA CICEROS DIARIA 14x21,760.12,689.29,517.43,1500.00,206.50,3673.34,2.47
7899866830059,2070,3,PLANNER DATADA CICEROS SEMANAL 14x21,527.70,530.61,407.36,1875.00,206.50,3547.17,1.71
7899866830066,2000,4,"PLANNER DATADA CICEROS SEMANAL PLANEJAMENTO 17x19,5",668.97,672.65,516.41,1875.00,206.41,3939.44,1.97
7899866830073,1900,4,PLANNER DATADA WIRE-O DIARIA A5,635.52,639.02,490.59,1875.00,206.41,3846.54,2.02
7899866830080,1900,4,PLANNER DATADA WIRE-O SEMANAL ANOTACOES A5,635.52,639.02,490.59,1875.00,206.41,3846.54,2.02
7899866830097,1960,8,"PLANNER DATADA WIRE-O SEMANAL OFFICE 15,5x9",999.88,906.72,680.65,1500.00,312.20,4399.45,2.24
7899866830127,780,9,PLANNER FINANCEIRO FINANCEIRO A5,632.27,489.01,353.98,1125.00,206.41,2806.67,3.60
7899866830134,1760,3,CICEROS SEM PAUTA 14x21,448.67,451.14,346.36,1875.00,206.50,3327.67,1.89
7899866830141,1330,1,CADERNO WIRE-O 20x28 - 1 MATÉRIA PAUTADO 20x28,853.86,660.39,478.03,1125.00,206.41,3323.70,2.50
7899866830158,1170,1,CADERNO WIRE-O 20x28 - 10 MATÉRIAS PAUTADO 20x28,751.14,580.95,420.53,1125.00,206.41,3084.02,2.64
7899866830165,1500,2,CADERNO CRIATIVO A5 PAUTADO & PONTADO A5,907.22,822.69,617.57,1500.00,206.41,4053.88,2.70