Código,Quantidade,Prancha,CATEGORIA,Impressão,Papel,Laminação,Hot,Clichê,Total,Unit
7899866830899,1500,8,"PLANNER DATADA ARGOLADO SEMANAL A6",586.67,532.00,399.36,3000.00,680.40,5198.43,3.47
7899866830905,1460,3,"PLANNER DATADA ARGOLADO SEMANAL NOTAS A5",931.71,936.84,575.39,3000.00,179.35,5623.30,3.85
7899866830912,1670,6,"PLANNER DATADA CICEROS DIARIA 14x21",499.20,501.95,308.29,3000.00,179.35,4488.79,2.69
7899866830929,2190,5,"PLANNER DATADA CICEROS SEMANAL 14x21",497.16,494.38,463.90,3750.00,179.35,5384.79,2.46
7899866830936,2550,5,"PLANNER DATADA CICEROS SEMANAL ANOTACOES 14x21",578.89,575.64,540.15,3750.00,151.48,5596.17,2.19
7899866830943,1530,8,"PLANNER DATADA WIRE-O DIARIA 11,5x16",598.40,542.64,407.35,3000.00,507.50,5055.89,3.30
7899866830950,1840,7,"PLANNER DATADA WIRE-O DIARIA A5",752.11,883.47,397.92,3000.00,179.35,5212.85,2.83
7899866830967,1840,7,"PLANNER DATADA WIRE-O SEMANAL ANOTACOES A5",752.11,883.47,397.92,3000.00,179.35,5212.85,2.83
7899866830974,1470,8,"PLANNER DATADA WIRE-O SEMANAL NOTAS A5",574.93,521.36,391.37,3000.00,151.48,4639.15,3.16
7899866830981,1860,7,"PLANNER DATADA WIRE-O SEMANAL OFFICE 15,5x9",760.28,893.08,402.24,3000.00,423.50,5479.10,2.95
7899866830998,1730,6,"CICEROS PAUTADO 14x21",517.13,519.98,319.36,3000.00,179.35,4535.83,2.62
7899866831001,1460,6,"CICEROS PONTADO 14x21",436.43,438.83,269.52,3000.00,179.37,4324.14,2.96
7899866831018,1630,6,"CICEROS SEM PAUTA 14x21",487.24,489.92,300.90,3000.00,151.48,4429.55,2.72
7899866831025,1530,2,"CADERNO CRIATIVO 17x24 PAUTADO 17X24",877.13,795.41,597.09,3000.00,478.45,5748.08,3.76
7899866831032,1320,1,"CADERNO CRIATIVO A5 PAUTADO & PONTADO A5",840.71,650.23,470.67,2250.00,151.48,4363.09,3.31
7899866831049,1540,2,"CADERNO WIRE-O 17x24 - 1 MATÉRIA PAUTADO 17x24",882.87,800.60,600.99,3000.00,994.70,6279.16,4.08
7899866831056,1580,3,"CADERNO WIRE-O 17x24 - 10 MATÉRIAS PAUTADO 17x24",1008.29,1013.84,622.69,3000.00,478.45,6123.27,3.88
7899866831063,1200,1,"CADERNO WIRE-O 20x28 - 10 MATÉRIAS PAUTADO 20x28",764.29,591.11,427.89,2250.00,1327.90,5361.19,4.47
7899866831070,840,4,"CADERNO ORGANIZADOR 17x24 PAUTADO & PONTADO 17x24",835.69,840.29,387.07,2250.00,1085.00,5398.06,6.43
7899866831087,1110,4,"CADERNO ORGANIZADOR A5 PAUTADO & PONTADO A5",1104.31,1110.39,511.49,2250.00,179.35,5155.54,4.64
7899866831094,1030,9,"PLANNER PERMANENTE CICEROS SEMANAL 14x21",1605.00,1241.34,599.04,1500.00,151.48,5096.86,4.95
7899866831100,2330,5,"PLANNER WIRE-O SEMANAL NOTAS A5",528.95,525.98,493.55,3750.00,179.35,5477.83,2.35